%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
Richard Nixon was\n\n  a. an audio technician.\n  b. a plumber's friend.\n  c. a comedian.\n  d. a president.	Richard Nixon was\n\n  a. an audio technician.\n  b. a plumber's friend.\n  c. a comedian.\n  d. a president.
A 747 is\n\n  a. a cocktail.\n  b. a perfect bowling score.\n  c. a large airplane.\n  d. a prime number.	A 747 is\n\n  a. a cocktail.\n  b. a perfect bowling score.\n  c. a large airplane.\n  d. a prime number.
Whips, chains and handcuffs are\n\n  a. kinky.\n  b. used by police\n       departments.\n  c. usually in text\n       adventures.\n  d. only permitted in\n       Eastern schools.	Whips, chains and handcuffs are\n\n  a. kinky.\n  b. used by police\n       departments.\n  c. usually in text\n       adventures.\n  d. only permitted in\n       Eastern schools.
A Macintosh is\n\n  a. a kind of Apple.\n  b. a kind of apple.\n  c. an article of clothing.\n  d. All of the above.	A Macintosh is\n\n  a. a kind of Apple.\n  b. a kind of apple.\n  c. an article of clothing.\n  d. All of the above.
My parents are\n\n  a. age 10 to 25.\n  b. age 25 to 30.\n  c. age 31 to 35.\n  d. 36 or over.	My parents are\n\n  a. age 10 to 25.\n  b. age 25 to 30.\n  c. age 31 to 35.\n  d. 36 or over.
My favorite actor is\n\n  a. Pia Zadora.\n  b. Fred Flintstone.\n  c. Jim Bakker.\n  d. not listed here.	My favorite actor is\n\n  a. Pia Zadora.\n  b. Fred Flintstone.\n  c. Jim Bakker.\n  d. not listed here.
I have hair on my\n\n  a. head.\n  b. palms.\n  c. keyboard.\n  d. lottsa places.	I have hair on my\n\n  a. head.\n  b. palms.\n  c. keyboard.\n  d. lottsa places.
When it's noon in California in August, in St. Louis it's\n\n  a. miserable.\n  b. 2:00 p.m.\n  c. 3:00 p.m.\n  d. time for a beer.	When it's noon in California in August, in St. Louis it's\n\n  a. miserable.\n  b. 2:00 p.m.\n  c. 3:00 p.m.\n  d. time for a beer.
The best "pick-up" line is:\n\n  a. Hey baby, what's your\n       sign?\n  b. Want to go for a ride\n       in my Porsche?\n  c. For a fat girl, you\n       sure don't sweat much!\n  d. Do you know where I can\n       buy some Vaseline?	The best "pick-up" line is:\n\n  a. Hey baby, what's your\n       sign?\n  b. Want to go for a ride\n       in my Porsche?\n  c. For a fat girl, you\n       sure don't sweat much!\n  d. Do you know where I can\n       buy some Vaseline?
The "Mile-High Club" is\n\n  a. a bird-watching society.\n  b. a Denver ski club.\n  c. a bar in East L. A.\n  d. open to those who have\n       performed aerial\n       acrobatics inside a\n       plane's rest room.	The "Mile-High Club" is\n\n  a. a bird-watching society.\n  b. a Denver ski club.\n  c. a bar in East L. A.\n  d. open to those who have\n       performed aerial\n       acrobatics inside a\n       plane's rest room.
My sex life is best described as\n\n  a. non-existent and non-\n       contemplated.\n  b. what sex life?\n  c. none of your business!!\n  d. a ripening tomato.	My sex life is best described as\n\n  a. non-existent and non-\n       contemplated.\n  b. what sex life?\n  c. none of your business!!\n  d. a ripening tomato.
Elizabeth Taylor is\n\n  a. an actress.\n  b. creator of a line of\n       cosmetics.\n  c. celebrating her silver\n       wedding anniversary.\n  d. a singer.	Elizabeth Taylor is\n\n  a. an actress.\n  b. creator of a line of\n       cosmetics.\n  c. celebrating her silver\n       wedding anniversary.\n  d. a singer.
Joan Rivers is\n\n  a. the real name of\n       "Dear Abby."\n  b. engaged to\n       Johnny Carson.\n  c. a former talk show\n       hostess.\n  d. polite to all\n       those around her.	Joan Rivers is\n\n  a. the real name of\n       "Dear Abby."\n  b. engaged to\n       Johnny Carson.\n  c. a former talk show\n       hostess.\n  d. polite to all\n       those around her.
Who starred in "Bedtime for Bonzo?"\n\n  a. Clint Eastwood\n  b. Fred Astaire\n  c. Cary Grant\n  d. Ronald Reagan	Who starred in "Bedtime for Bonzo?"\n\n  a. Clint Eastwood\n  b. Fred Astaire\n  c. Cary Grant\n  d. Ronald Reagan
Taxes should be\n\n  a. lower.\n  b. higher.\n  c. unchanged.\n  d. eliminated.	Taxes should be\n\n  a. lower.\n  b. higher.\n  c. unchanged.\n  d. eliminated.
A moon is\n\n  a. an astronomical body.\n  b. a practical joke.\n  c. a form of pie.\n  d. all of the above.	A moon is\n\n  a. an astronomical body.\n  b. a practical joke.\n  c. a form of pie.\n  d. all of the above.
Marlon Brando is\n\n  a. a singer.\n  b. an actor.\n  c. a politician.\n  d. a kind of soap.	Marlon Brando is\n\n  a. a singer.\n  b. an actor.\n  c. a politician.\n  d. a kind of soap.
I am presently\n\n  a. in elementary school.\n  b. in junior high.\n  c. fighting acne.\n  d. past puberty.	I am presently\n\n  a. in elementary school.\n  b. in junior high.\n  c. fighting acne.\n  d. past puberty.
Herpes is\n\n  a. caught from toilet\n       seats.\n  b. a French dessert.\n  c. socially desirable.\n  d. fatal (if given to\n       your spouse).	Herpes is\n\n  a. caught from toilet\n       seats.\n  b. a French dessert.\n  c. socially desirable.\n  d. fatal (if given to\n       your spouse).
ERA is an abbreviation for\n\n  a. Earnest Realtors of\n       America.\n  b. Equal Rights Amendment.\n  c. Erogenous Readers\n       Association.\n  d. Error Recovery\n       Associates.	ERA is an abbreviation for\n\n  a. Earnest Realtors of\n       America.\n  b. Equal Rights Amendment.\n  c. Erogenous Readers\n       Association.\n  d. Error Recovery\n       Associates.
G. Gordon Liddy was associated with\n\n  a. the Mob.\n  b. Calvin Klein.\n  c. Elizabeth Taylor.\n  d. the Plumbers.	G. Gordon Liddy was associated with\n\n  a. the Mob.\n  b. Calvin Klein.\n  c. Elizabeth Taylor.\n  d. the Plumbers.
What was illegal during Prohibition?\n\n  a. aphrodisiacs\n  b. alcohol\n  c. abstinence\n  d. perversion	What was illegal during Prohibition?\n\n  a. aphrodisiacs\n  b. alcohol\n  c. abstinence\n  d. perversion
Bonnie and\n\n  a. Ronnie\n  b. Clyde\n  c. Hubbard\n  d. Clod	Bonnie and\n\n  a. Ronnie\n  b. Clyde\n  c. Hubbard\n  d. Clod
Who spends the most time in Las Vegas?\n\n  a. Michael J. Fox\n  b. Wayne Newton\n  c. J. Paul Getty\n  d. Paul Volcker	Who spends the most time in Las Vegas?\n\n  a. Michael J. Fox\n  b. Wayne Newton\n  c. J. Paul Getty\n  d. Paul Volcker
Which U. S. President was not elected to office?\n\n  a. Johnson\n  b. Eisenhower\n  c. Ford\n  d. Cleveland	Which U. S. President was not elected to office?\n\n  a. Johnson\n  b. Eisenhower\n  c. Ford\n  d. Cleveland
Which is not a currency?\n\n  a. yen\n  b. lira\n  c. fennel\n  d. rupee	Which is not a currency?\n\n  a. yen\n  b. lira\n  c. fennel\n  d. rupee
Which is not a baseball team?\n\n  a. Blue Jays\n  b. Cardinals\n  c. Seahawks\n  d. Orioles	Which is not a baseball team?\n\n  a. Blue Jays\n  b. Cardinals\n  c. Seahawks\n  d. Orioles
Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?\n\n  a. Rolling Stones\n  b. Boy George\n  c. Olivia Newton Jean\n  d. Madonna	Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?\n\n  a. Rolling Stones\n  b. Boy George\n  c. Olivia Newton Jean\n  d. Madonna
The American television debut of Bob Hope, Dinah Shore, Elvis, and the Beatles was on\n\n  a. "The Ed Sullivan Show."\n  b. "Your Show of Shows."\n  c. "The Tonight Show."\n  d. "My Mother, the Car."	The American television debut of Bob Hope, Dinah Shore, Elvis, and the Beatles was on\n\n  a. "The Ed Sullivan Show."\n  b. "Your Show of Shows."\n  c. "The Tonight Show."\n  d. "My Mother, the Car."
Michael Doonesbury founded\n\n  a. the American Nazi Party.\n  b. Walden Puddle Commune.\n  c. the Young Republicans.\n  d. the Grace Jones\n       Fan Club.	Michael Doonesbury founded\n\n  a. the American Nazi Party.\n  b. Walden Puddle Commune.\n  c. the Young Republicans.\n  d. the Grace Jones\n       Fan Club.
The first baseball player to challenge the reserve clause was\n\n  a. Philly Jo Jones.\n  b. Roger Maris.\n  c. Curt Flood.\n  d. Ted Williams.	The first baseball player to challenge the reserve clause was\n\n  a. Philly Jo Jones.\n  b. Roger Maris.\n  c. Curt Flood.\n  d. Ted Williams.
The first Negro to play Major League Baseball was\n\n  a. Jackie Robinson.\n  b. Joe DiMaggio.\n  c. Benny Goodman.\n  d. Satchel Paige.	The first Negro to play Major League Baseball was\n\n  a. Jackie Robinson.\n  b. Joe DiMaggio.\n  c. Benny Goodman.\n  d. Satchel Paige.
Former Congressman Wilbur Mills went for a dip in the Tidal Basin with\n\n  a. nothing on but his\n       pride.\n  b. a stripper named Fanne.\n  c. his dog Spot.\n  d. a 20-year-old secretary.	Former Congressman Wilbur Mills went for a dip in the Tidal Basin with\n\n  a. nothing on but his\n       pride.\n  b. a stripper named Fanne.\n  c. his dog Spot.\n  d. a 20-year-old secretary.
Martha Mitchell was\n\n  a. a porno star.\n  b. a famous author.\n  c. the outspoken wife of an\n       Attorney General.\n  d. All of the above.	Martha Mitchell was\n\n  a. a porno star.\n  b. a famous author.\n  c. the outspoken wife of an\n       Attorney General.\n  d. All of the above.
The G-Spot is supposed to be\n\n  a. Ground Zero at a nuclear\n       blast.\n  b. a female erogenous zone.\n  c. an unexplained astro-\n       nomical discovery.\n  d. the place where the FBI\n       was first established.	The G-Spot is supposed to be\n\n  a. Ground Zero at a nuclear\n       blast.\n  b. a female erogenous zone.\n  c. an unexplained astro-\n       nomical discovery.\n  d. the place where the FBI\n       was first established.
Hugh Hefner is usually photographed in\n\n  a. the nude.\n  b. a hot tub.\n  c. his current lover's\n       arms.\n  d. pajamas.	Hugh Hefner is usually photographed in\n\n  a. the nude.\n  b. a hot tub.\n  c. his current lover's\n       arms.\n  d. pajamas.
The 1973 album "Dark Side of the Moon" was recorded by\n\n  a. Pink Floyd.\n  b. Deep Purple.\n  c. Bad News.\n  d. the Grateful Dead.	The 1973 album "Dark Side of the Moon" was recorded by\n\n  a. Pink Floyd.\n  b. Deep Purple.\n  c. Bad News.\n  d. the Grateful Dead.
Dynamic logic = 3.	Dynamic logic = 3.
When playing "Monopoly" you\n\n  a. hope for a straight\n       flush.\n  b. must own four houses\n       before building\n       a hotel.\n  c. need a black jack to\n       win.\n  d. win with a seven and\n       a five.	When playing "Monopoly" you\n\n  a. hope for a straight\n       flush.\n  b. must own four houses\n       before building\n       a hotel.\n  c. need a black jack to\n       win.\n  d. win with a seven and\n       a five.
Which is not in Hawaii?\n\n  a. Oahu\n  b. Kauai\n  c. Fiji\n  d. Maui	Which is not in Hawaii?\n\n  a. Oahu\n  b. Kauai\n  c. Fiji\n  d. Maui
Which is not a car?\n\n  a. Ferrari\n  b. Porsche\n  c. Corvair\n  d. Toshiba	Which is not a car?\n\n  a. Ferrari\n  b. Porsche\n  c. Corvair\n  d. Toshiba
President Eisenhower's nickname was\n\n  a. Tink.\n  b. Blackjack.\n  c. Ike.\n  d. Tina.	President Eisenhower's nickname was\n\n  a. Tink.\n  b. Blackjack.\n  c. Ike.\n  d. Tina.
Bourbon Street is in\n\n  a. Whiskeyville, Indiana.\n  b. Jackass Flats, Idaho.\n  c. "Monopoly."\n  d. New Orleans, Louisiana.	Bourbon Street is in\n\n  a. Whiskeyville, Indiana.\n  b. Jackass Flats, Idaho.\n  c. "Monopoly."\n  d. New Orleans, Louisiana.
Does a pair of queens beat three deuces?\n\n  a. Yes, in blackjack.\n  b. Yes, in poker.\n  c. No, in canasta.\n  d. It depends on what the\n       three deuces said.	Does a pair of queens beat three deuces?\n\n  a. Yes, in blackjack.\n  b. Yes, in poker.\n  c. No, in canasta.\n  d. It depends on what the\n       three deuces said.
Calvin Klein is\n\n  a. married to\n       Brooke Shields.\n  b. a movie star.\n  c. a clothing designer.\n  d. President of the\n       Coarsegold Chamber\n       of Commerce.	Calvin Klein is\n\n  a. married to\n       Brooke Shields.\n  b. a movie star.\n  c. a clothing designer.\n  d. President of the\n       Coarsegold Chamber\n       of Commerce.
Two bits is\n\n  a. all it takes to consume\n       a "Big Mac."\n  b. computer talk.\n  c. about a dollar.\n  d. the former cost for a\n       shave and a haircut.	Two bits is\n\n  a. all it takes to consume\n       a "Big Mac."\n  b. computer talk.\n  c. about a dollar.\n  d. the former cost for a\n       shave and a haircut.
Charlie McCarthy and\n\n  a. John Lennon\n  b. Louis Pasteur\n  c. Albert Einstein\n  d. Edgar Bergen	Charlie McCarthy and\n\n  a. John Lennon\n  b. Louis Pasteur\n  c. Albert Einstein\n  d. Edgar Bergen
Who is not a famous musician?\n\n  a. Lawrence Welk\n  b. Tommy Dorsey\n  c. Les Brown\n  d. Steve Garvey	Who is not a famous musician?\n\n  a. Lawrence Welk\n  b. Tommy Dorsey\n  c. Les Brown\n  d. Steve Garvey
Which is non-alcoholic?\n\n  a. whiskey\n  b. Grand Marnier\n  c. Perrier\n  d. tequila	Which is non-alcoholic?\n\n  a. whiskey\n  b. Grand Marnier\n  c. Perrier\n  d. tequila
Who was not a politician?\n\n  a. Richard Nixon\n  b. Ronald Reagan\n  c. W. C. Fields\n  d. George Bush	Who was not a politician?\n\n  a. Richard Nixon\n  b. Ronald Reagan\n  c. W. C. Fields\n  d. George Bush
The last name of Annette (on the original Mickey Mouse Club) was\n\n  a. Funnicular.\n  b. that WAS her last name.\n  c. Funicello.\n  d. Avalon.	The last name of Annette (on the original Mickey Mouse Club) was\n\n  a. Funnicular.\n  b. that WAS her last name.\n  c. Funicello.\n  d. Avalon.
"Tiptoe Through the Tulips" was recorded by\n\n  a. Alice Cooper.\n  b. Alice B. Toklas.\n  c. Tiny Tim.\n  d. Big Tiny Little.	"Tiptoe Through the Tulips" was recorded by\n\n  a. Alice Cooper.\n  b. Alice B. Toklas.\n  c. Tiny Tim.\n  d. Big Tiny Little.
Which one of these was not a war?\n\n  a. Crimean\n  b. Korean\n  c. Chinese\n  d. Vietnamese	Which one of these was not a war?\n\n  a. Crimean\n  b. Korean\n  c. Chinese\n  d. Vietnamese
Who's buried in Grant's tomb?\n\n  a. Grant Tinker\n  b. Land Grant\n  c. NSF Grant\n  d. Mrs. Grant	Who's buried in Grant's tomb?\n\n  a. Grant Tinker\n  b. Land Grant\n  c. NSF Grant\n  d. Mrs. Grant
John F. Kennedy drove a\n\n  a. PT boat.\n  b. spike faster than a\n       steam driver.\n  c. battleship.\n  d. Ferrari.	John F. Kennedy drove a\n\n  a. PT boat.\n  b. spike faster than a\n       steam driver.\n  c. battleship.\n  d. Ferrari.
Peter Piper picked a peck of pickled\n\n  a. pips.\n  b. pipers.\n  c. peppers.\n  d. peekers.	Peter Piper picked a peck of pickled\n\n  a. pips.\n  b. pipers.\n  c. peppers.\n  d. peekers.
A result of Watergate was\n\n  a. the loss of water.\n  b. Jimmy Carter quit.\n  c. Richard Nixon quit.\n  d. Gerald Ford quit.	A result of Watergate was\n\n  a. the loss of water.\n  b. Jimmy Carter quit.\n  c. Richard Nixon quit.\n  d. Gerald Ford quit.
I find computer games with adult content\n\n  a. offensive.\n  b. acceptable.\n  c. repulsive.\n  d. under my bed.	I find computer games with adult content\n\n  a. offensive.\n  b. acceptable.\n  c. repulsive.\n  d. under my bed.
The Atlantic and Pacific Oceans are connected by the\n\n  a. Panama Canal.\n  b. Snake River.\n  c. hips.\n  d. Isthmus of Panama.	The Atlantic and Pacific Oceans are connected by the\n\n  a. Panama Canal.\n  b. Snake River.\n  c. hips.\n  d. Isthmus of Panama.
The most likely place to find virgins is\n\n  a. The Virgin Islands.\n  b. Virginia.\n  c. St. Mary's Girls School.\n  d. Hollywood.	The most likely place to find virgins is\n\n  a. The Virgin Islands.\n  b. Virginia.\n  c. St. Mary's Girls School.\n  d. Hollywood.
Who wrote "To be, or not to be?"\n\n  a. Bill Shakespeare.\n  b. Paul McCartney.\n  c. George Bernard Shaw.\n  d. Tennessee Williams.	Who wrote "To be, or not to be?"\n\n  a. Bill Shakespeare.\n  b. Paul McCartney.\n  c. George Bernard Shaw.\n  d. Tennessee Williams.
The largest state is\n\n  a. California.\n  b. Alaska.\n  c. Rhode Island.\n  d. Texas.	The largest state is\n\n  a. California.\n  b. Alaska.\n  c. Rhode Island.\n  d. Texas.
